INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_IN_OUT,PRECINCT,JURISDICTION_CODE,LOC_CLASS,LOCATION_DESC,MURDER_FLAG,PERP_AGE,PERP_SEX,PERP_RACE,VIC_AGE,VIC_SEX,VIC_RACE,X_COORD,Y_COORD,LAT,LONG
281893084,2/8/24,10:45:00,BRONX,OUTSIDE,50,0,STREET,(null),Y,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1011141,255864,40.868923,-73.902772
279799857,1/1/24,11:38:00,STATEN ISLAND,INSIDE,120,0,DWELLING,PVT HOUSE,N,18-24,M,BLACK,18-24,M,BLACK,955153,162658,40.613088,-74.104798
281143962,1/25/24,18:30:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1005674,234940,40.811507,-73.922606
282117921,2/12/24,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,<18,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.9147428
284584435,3/29/24,22:00:00,QUEENS,INSIDE,113,0,DWELLING,PVT HOUSE,Y,25-44,M,BLACK,45-64,F,BLACK,1044391,186719,40.678976,-73.78317
281486708,2/1/24,8:17:00,QUEENS,OUTSIDE,113,0,COMMERCIAL,BAR/NIGHT CLUB,N,(null),(null),(null),25-44,M,BLACK,1046315,187088,,
283885166,3/17/24,0:50:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1007951,241445,40.829355,-73.914355
281933972,2/8/24,19:06:00,MANHATTAN,OUTSIDE,14,0,STREET,(null),N,<18,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,987952,214356,40.75503340159596,-73.98663788
282041194,2/10/24,21:25:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1007536,244566,40.837924,-73.915846
280384564,1/11/24,18:10:00,QUEENS,OUTSIDE,101,0,STREET,(null),N,18-24,M,BLACK HISPANIC,<18,M,BLACK,1051463,159247,40.603519,-73.757946
284213333,3/22/24,22:23:00,BROOKLYN,OUTSIDE,67,0,OTHER,HOSPITAL,N,(null),(null),(null),25-44,M,BLACK,1008769,177614,40.654153,-73.911632
283831608,3/15/24,22:16:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,998100,233193,40.806726,-73.949968
281650925,2/3/24,16:19:00,BRONX,OUTSIDE,42,0,STREET,(null),N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1011255,241480,40.829443,-73.902415
281552304,2/2/24,0:41:00,BROOKLYN,INSIDE,72,0,DWELLING,(null),N,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,982591,172686,40.64066,-74.005978
280638541,1/16/24,15:00:00,BROOKLYN,INSIDE,73,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,UNKNOWN,M,BLACK HISPANIC,1007743,184918,40.674205,-73.915304
282788118,2/25/24,18:45:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1029833,253251,40.861674,-73.835205
283416447,3/8/24,0:18:00,MANHATTAN,INSIDE,14,0,COMMERCIAL,SOCIAL CLUB/POLICY LOCATI,N,(null),(null),(null),25-44,M,BLACK,986631,214350,40.755018,-73.991405
279799859,1/1/24,2:55:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1020650,242677,40.832692646216834,-73.86846329
280879491,1/21/24,6:08:00,BRONX,INSIDE,47,0,STREET,(null),Y,(null),(null),(null),18-24,M,BLACK,1023421,264176,40.891691,-73.858323
280500173,1/13/24,23:59:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),N,<18,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1006957,255000,40.866564,-73.9179
284444370,3/27/24,3:30:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1013865,181817,40.665674,-73.893249
280126746,1/7/24,22:00:00,BROOKLYN,OUTSIDE,84,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,989325,194210,40.699737,-73.981697
281577208,2/2/24,12:02:00,BRONX,OUTSIDE,43,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,25-44,M,BLACK,1020568,239896,40.825062,-73.868772
280126745,1/7/24,18:12:00,MANHATTAN,OUTSIDE,30,0,STREET,(null),Y,45-64,M,BLACK,25-44,M,BLACK HISPANIC,996345,238254,40.82062,-73.9563
284021247,3/19/24,18:58:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1021814,236899,40.816829,-73.864286
280107188,1/6/24,13:53:00,BROOKLYN,OUTSIDE,72,0,STREET,(null),N,45-64,M,WHITE HISPANIC,45-64,M,BLACK,980701,177837,40.6548,-74.01279
281438760,1/31/24,13:04:00,MANHATTAN,OUTSIDE,23,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1001808,228700,40.79439,-73.936586
282041194,2/10/24,21:25:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1007536,244566,40.837924,-73.915846
283711012,3/13/24,11:14:00,BROOKLYN,OUTSIDE,73,0,STREET,MULTI DWELL - APT BUILD,Y,25-44,M,BLACK,25-44,M,BLACK,1009450,182401,40.66729,-73.909161
282117921,2/12/24,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,<18,M,BLACK,1007839,246906,40.844343526095244,-73.9147428
281248218,1/27/24,12:55:00,BRONX,INSIDE,47,0,COMMERCIAL,HOTEL/MOTEL,N,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1032043,261242,40.883595,-73.827157
280568176,1/15/24,18:47:00,BRONX,OUTSIDE,46,0,STREET,(null),N,<18,M,BLACK,<18,M,WHITE HISPANIC,1009331,250024,40.8529,-73.909338
279800218,1/1/24,8:15:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,45-64,M,BLACK,45-64,M,BLACK,1011437,186306,40.678004,-73.901983
284584434,3/30/24,20:50:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068
284499904,3/28/24,12:46:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,BLACK,1019950,184443,40.67285815573826,-73.87130201
281534580,2/1/24,20:57:00,STATEN ISLAND,OUTSIDE,120,0,STREET,PVT HOUSE,N,(null),(null),(null),25-44,M,BLACK,959876,172911,40.641246,-74.087825
283641593,3/12/24,20:35:00,BROOKLYN,OUTSIDE,79,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),45-64,M,BLACK,995918,190890,40.69062,-73.957925
283020989,2/29/24,1:00:00,BRONX,INSIDE,52,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1010769,253612,40.862742,-73.904126
282423225,2/18/24,3:56:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,999508,235734,40.813698,-73.944875
280568174,1/15/24,10:25:00,BRONX,OUTSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,N,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1014776,254642,40.865555,-73.889635
280179978,1/8/24,14:30:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1038515,196822,40.706741,-73.804274
283517634,3/10/24,23:20:00,BRONX,OUTSIDE,40,0,STREET,(null),N,25-44,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1011156,236890,40.816844,-73.902794
284321057,3/25/24,2:20:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1018553,245062,40.839248,-73.876026
281650924,2/3/24,21:50:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1018305,175304,40.647781,-73.877277
